attendance_percentage,avg_unit_marks,sir_term_test_avg,school_term_test_avg,homework_completion_rate,behavior_score,final_grade
52.01,42.43,79.45,77.2,77.26,49.18,C
69.62,40.5,83.53,45.16,48.29,75.45,S
65.4,94.67,45.3,27.22,26.94,74.54,S
66.57,36.42,83.78,72.68,69.44,95.46,C
84.94,48.54,39.22,76.0,77.93,77.55,C
62.3,77.16,44.89,55.76,98.94,65.09,C
51.41,43.95,79.89,63.6,67.42,67.36,C
82.28,48.02,66.11,41.91,52.05,65.44,S
69.37,64.02,64.71,20.0,53.85,69.13,S
97.58,43.4,63.26,90.89,43.74,80.91,C
62.97,54.91,43.94,41.9,100.0,87.67,S
91.53,74.84,27.87,66.69,91.46,62.2,C
89.48,79.09,97.04,48.81,48.05,69.58,B
96.53,28.43,20.0,59.97,61.15,75.12,S
89.18,53.95,22.54,100.0,50.06,59.11,C
91.56,57.31,58.73,68.62,91.67,70.0,C
97.8,22.28,75.2,39.53,97.45,77.13,S
64.91,78.26,77.86,72.12,49.41,67.74,B
74.94,64.17,74.99,20.0,76.69,70.65,S
62.42,50.15,55.71,20.0,55.97,61.86,W
82.99,48.89,55.7,91.93,89.89,88.53,B
67.5,75.86,55.32,53.69,78.19,66.05,C
97.4,61.8,72.37,90.02,90.63,53.87,B
81.67,82.01,77.84,33.51,56.86,89.92,C
63.57,59.01,91.52,56.95,55.46,61.84,C
79.99,38.34,55.05,65.33,95.98,85.01,C
64.29,88.57,54.01,30.81,66.56,96.57,C
77.48,65.25,92.74,26.51,44.29,50.76,C
80.59,68.33,90.85,63.36,61.92,75.03,B
76.77,31.56,100.0,69.44,74.2,84.23,C
85.64,62.19,47.38,71.19,77.71,62.85,C
96.29,70.87,74.6,88.62,70.44,79.75,A
87.15,50.5,61.08,60.76,50.88,100.0,C
53.89,39.04,86.28,73.69,49.48,84.11,C
97.02,64.39,100.0,20.07,83.88,92.5,C
88.37,60.91,54.19,67.77,86.32,84.04,C
90.6,44.62,55.44,37.32,62.28,90.23,S
76.62,100.0,63.87,59.31,72.12,65.43,B
74.13,87.56,62.28,40.54,51.5,68.25,C
76.11,88.87,33.19,50.96,72.89,47.49,C
62.5,51.4,44.08,62.22,66.79,66.67,S
81.42,99.46,92.79,20.0,81.54,72.33,B
77.33,57.03,62.35,61.33,58.42,61.55,C
68.27,69.69,71.98,76.77,60.12,79.26,B
89.44,88.31,58.82,53.14,73.82,57.75,B
72.1,79.89,72.84,52.05,74.35,62.63,C
85.55,63.44,54.48,50.04,68.74,68.28,C
84.87,57.09,91.86,90.23,52.17,76.05,B
65.24,58.47,100.0,51.23,77.2,83.12,C
59.99,47.9,35.88,38.51,13.0,83.17,W
100.0,67.96,31.67,43.86,60.82,59.74,S
87.9,81.21,36.89,73.95,100.0,100.0,B
100.0,46.96,100.0,50.21,58.15,79.91,C
66.27,72.98,33.6,52.75,95.71,74.14,C
77.12,74.51,83.41,21.59,81.69,70.98,C
77.5,86.2,36.12,35.72,31.29,66.76,S
94.96,62.59,33.2,47.32,40.24,58.12,S
80.83,41.52,82.25,56.44,71.71,70.82,C
86.59,80.66,66.7,70.43,65.76,83.13,B
69.93,65.04,54.51,47.94,56.22,82.02,S
94.66,88.42,34.87,86.36,63.64,84.01,B
61.41,67.84,66.27,25.34,82.17,95.19,S
72.38,92.2,56.21,76.69,25.63,100.0,B
97.43,59.31,20.56,64.34,41.12,81.67,S
81.17,46.17,82.42,75.72,89.52,75.13,B
53.77,84.56,54.59,27.42,97.04,100.0,C
74.38,100.0,61.83,49.63,57.39,99.56,B
63.3,79.71,48.82,47.87,90.6,69.3,C
68.93,87.66,91.95,72.18,56.9,67.34,B
76.2,71.42,40.24,73.91,71.71,49.26,C
61.07,54.92,58.54,99.56,74.76,62.39,B
78.31,57.96,66.5,70.77,94.18,74.64,B
99.58,83.16,45.85,100.0,76.54,62.47,A
99.79,100.0,59.34,46.92,66.55,85.72,B
94.17,76.41,62.03,90.96,63.74,90.46,B
70.68,73.62,57.73,56.77,62.45,95.17,C
64.01,50.2,100.0,79.51,22.3,66.52,C
47.82,45.99,20.0,54.99,47.16,75.9,W
50.62,66.66,51.7,91.04,98.23,86.78,B
70.1,100.0,28.94,27.12,68.32,100.0,S
71.96,61.34,31.16,78.81,89.06,86.84,C
65.56,50.87,34.14,59.85,48.39,57.34,S
68.64,55.22,49.24,68.26,71.58,70.68,C
77.75,45.17,62.11,61.31,39.94,89.94,S
61.78,66.81,83.29,78.36,70.69,69.56,B
89.21,78.49,47.63,40.51,28.55,77.31,S
73.76,87.72,67.18,87.35,56.05,92.07,B
67.07,80.55,30.82,63.17,30.31,70.99,S
81.61,54.58,38.99,76.61,67.93,67.66,C
75.63,100.0,83.07,83.58,78.71,77.5,A
39.06,51.42,50.39,20.0,46.85,45.29,W
74.43,81.38,82.14,67.13,50.73,46.02,B
48.65,39.62,42.22,54.49,49.72,80.08,W
71.52,65.21,82.81,32.03,78.37,74.79,C
70.0,82.71,77.58,37.18,66.36,79.22,C
70.9,76.7,65.62,98.32,39.39,73.16,B
61.37,77.08,27.66,65.62,57.4,63.99,S
53.3,55.7,81.69,57.45,82.55,99.97,C
78.96,53.82,69.35,46.03,59.91,52.2,S
88.89,57.28,63.64,35.21,78.72,63.57,C
72.87,82.56,75.82,57.52,34.64,100.0,C
100.0,79.45,44.94,55.5,59.13,93.96,C
78.94,49.32,50.58,82.67,100.0,97.92,C
86.36,59.95,20.0,64.54,69.96,77.1,S
75.81,38.47,71.15,71.91,83.65,89.2,C
84.06,56.8,58.58,60.0,72.15,89.97,C
84.66,100.0,100.0,59.75,10.0,93.55,B
66.89,48.97,52.03,48.17,82.25,51.61,S
58.83,71.86,72.46,72.11,54.26,60.33,C
67.4,69.8,89.71,20.0,65.59,55.01,S
50.22,84.34,70.89,67.89,88.42,67.8,B
68.51,100.0,55.07,74.17,70.13,47.28,B
44.33,53.42,81.12,75.34,88.28,60.19,C
99.24,45.7,64.26,57.77,66.52,95.08,C
64.42,38.01,60.4,49.2,100.0,85.15,S
68.86,43.88,22.39,35.45,72.3,96.41,W
91.83,69.58,53.54,63.91,59.63,100.0,C
72.16,63.27,20.0,53.7,86.73,58.98,S
63.74,80.85,30.47,81.27,59.36,69.17,C
58.14,72.56,100.0,75.19,52.71,92.03,B
70.25,92.49,76.13,20.0,49.92,89.17,C
77.27,44.52,47.33,20.0,68.23,100.0,W
87.07,100.0,77.65,80.6,100.0,80.66,A
72.19,85.65,89.08,47.44,55.57,77.08,B
87.47,80.96,31.52,100.0,57.18,71.02,B
61.46,100.0,64.84,39.28,87.28,86.54,B
72.18,81.81,43.49,47.16,29.8,55.14,S
100.0,97.83,61.32,94.58,66.8,71.35,A
75.85,62.5,55.7,83.15,73.0,85.69,B
90.47,72.76,40.59,28.24,72.98,72.43,S
76.31,64.68,100.0,28.74,30.2,79.99,C
69.35,71.32,71.68,86.25,39.86,66.65,B
81.43,80.41,100.0,79.03,68.86,61.64,A
66.54,53.15,73.1,63.65,43.53,68.46,C
88.16,72.03,71.37,66.42,100.0,78.54,B
69.21,46.68,64.99,20.0,66.31,71.91,S
54.53,46.43,76.19,63.08,72.04,79.6,C
76.39,89.86,62.47,25.92,100.0,80.56,C
66.16,39.93,67.92,55.42,100.0,69.81,C
62.44,82.92,78.51,61.71,83.53,74.43,B
78.51,88.3,72.51,54.28,97.05,39.53,B
100.0,30.88,47.46,57.1,67.07,90.1,S
59.13,70.22,48.44,64.49,68.7,76.39,C
66.75,54.8,65.75,78.76,58.03,61.97,C
84.2,64.35,76.61,38.07,34.41,67.0,C
63.5,63.42,47.26,74.3,64.24,77.26,C
77.36,68.9,59.52,69.23,54.09,95.99,C
71.45,38.77,63.76,39.27,83.31,100.0,S
63.2,71.65,24.89,67.99,52.29,65.63,S
58.48,79.64,80.15,58.51,52.71,98.84,C
63.74,21.76,69.17,33.69,89.77,69.28,W
84.06,93.03,35.82,45.55,68.49,98.06,C
65.12,53.11,69.56,45.3,73.05,51.73,S
100.0,38.05,53.56,57.29,100.0,55.13,C
100.0,80.14,68.34,36.34,81.42,64.15,C
94.0,45.58,57.74,45.78,50.25,86.12,S
83.03,89.18,24.4,81.41,100.0,68.23,B
100.0,59.74,32.55,51.28,90.96,62.43,C
65.99,76.87,60.06,70.86,74.76,82.19,B
68.52,69.63,41.45,86.35,57.31,91.93,C
71.5,69.04,50.1,35.65,35.1,59.17,S
70.14,69.24,80.21,48.19,52.36,53.36,C
82.2,92.66,85.33,73.62,82.77,100.0,A
79.98,77.92,53.58,28.04,56.32,74.86,S
75.91,100.0,61.63,83.93,61.3,70.32,B
55.06,50.15,70.54,58.17,88.86,77.72,C
69.71,100.0,58.12,83.59,61.98,85.64,B
88.92,69.17,20.0,58.4,94.61,82.91,C
81.69,30.55,45.59,67.05,78.21,93.22,S
72.83,73.12,60.33,36.29,24.88,81.47,S
77.61,52.64,27.62,71.85,64.68,83.35,S
100.0,22.17,46.01,53.39,99.1,50.45,S
100.0,67.72,58.08,53.64,61.27,90.72,C
58.97,71.91,52.32,41.23,100.0,81.29,C
84.2,87.76,31.57,96.55,19.82,63.47,B
68.11,76.63,64.37,54.33,69.76,60.33,C
52.54,79.53,73.87,92.86,54.2,85.39,B
70.74,88.81,80.44,62.65,63.21,89.41,B
84.7,51.31,33.44,51.65,100.0,92.2,S
58.32,41.64,85.49,33.02,80.19,65.76,S
99.26,49.59,82.87,62.07,75.04,45.45,C
41.96,60.59,64.94,33.25,48.23,83.42,S
83.44,62.25,75.6,32.17,62.88,99.72,C
76.02,67.53,100.0,27.21,85.93,99.96,C
70.13,82.19,40.36,42.89,77.7,86.98,C
91.81,96.39,58.65,84.26,63.15,88.53,A
78.11,73.91,68.47,22.7,47.52,76.54,S
49.69,81.62,77.43,65.2,47.58,95.7,C
100.0,67.94,70.21,62.44,80.61,73.21,B
74.48,83.11,100.0,27.2,67.92,57.29,C
98.88,53.25,31.14,72.04,100.0,84.95,C
78.07,73.18,88.3,38.77,67.76,68.21,C
57.48,58.43,82.15,70.47,82.89,77.2,C
82.85,48.99,53.81,62.22,75.55,79.8,C
72.92,57.45,100.0,77.95,78.26,71.5,B
68.23,62.38,65.86,20.0,38.61,65.45,S
78.11,60.21,89.56,25.39,54.97,97.8,C
76.97,82.7,100.0,42.74,68.01,70.91,B
45.68,58.79,77.62,69.89,82.38,69.37,C
65.16,90.39,50.05,64.47,73.27,96.93,B
89.57,39.09,36.25,70.74,68.71,68.17,S
90.23,68.75,61.05,75.16,62.5,98.53,B
63.18,78.14,88.68,27.7,63.13,92.13,C
92.36,61.57,45.31,79.03,93.67,57.53,B
56.94,69.51,72.59,51.42,83.59,64.35,C
43.28,56.52,61.26,51.93,46.83,47.77,S
67.29,82.95,85.12,84.13,53.68,57.69,B
82.45,77.7,68.0,20.0,52.66,74.55,S
82.31,80.35,62.89,65.28,71.7,85.28,B
79.69,66.31,54.63,59.79,79.69,79.01,C
80.71,91.85,65.3,43.72,87.67,54.51,B
58.78,71.72,70.33,30.61,62.34,65.91,S
67.7,83.87,74.13,57.58,59.08,54.76,C
96.3,76.84,45.87,73.83,68.6,70.69,B
81.53,50.17,53.12,60.67,60.01,85.04,C
100.0,49.91,26.7,20.0,66.99,65.05,W
78.12,67.65,27.94,20.0,75.92,77.03,S
68.61,31.86,69.43,85.98,75.56,62.29,C
75.67,37.68,81.16,59.8,34.64,70.49,S
81.95,58.34,54.48,31.06,81.33,65.27,S
42.65,57.57,79.62,49.49,100.0,81.43,C
80.08,62.43,58.63,52.2,63.95,82.96,C
60.96,43.48,37.54,100.0,80.61,79.57,C
59.14,77.47,57.67,62.71,50.47,77.4,C
68.64,49.69,74.68,24.17,81.3,85.27,S
61.81,48.59,55.54,64.2,66.94,81.5,S
100.0,54.85,25.7,76.17,100.0,80.89,C
58.68,62.52,37.63,72.14,42.97,70.5,S
59.93,67.54,52.67,61.89,70.45,60.2,C
84.4,64.02,40.23,100.0,79.53,72.7,B
96.23,100.0,57.09,65.64,50.24,72.79,B
72.01,68.7,66.66,70.32,74.75,56.84,C
60.92,54.07,54.36,81.12,46.74,69.64,C
89.3,59.0,69.21,54.93,75.14,71.57,C
85.01,34.1,52.73,64.52,80.67,97.39,C
69.13,94.59,46.82,87.23,86.35,61.3,B
79.61,63.98,72.51,53.09,63.86,95.54,C
73.52,81.53,55.49,94.67,56.43,65.79,B
97.87,56.1,92.02,77.62,66.91,47.8,B
74.71,67.03,83.34,92.95,56.3,87.02,B
86.48,86.47,69.97,20.0,66.89,57.66,C
71.96,84.6,66.1,83.26,76.84,55.53,B
37.19,67.98,55.72,36.51,35.99,63.98,W
72.08,78.32,63.77,93.38,49.29,88.22,B
75.71,78.89,51.27,81.58,75.9,64.81,B
74.82,60.21,69.78,32.04,69.41,80.93,S
75.5,91.94,75.48,57.84,74.33,79.43,B
81.05,28.49,53.97,25.34,95.57,74.09,W
72.1,82.94,68.45,33.17,68.58,69.97,C
48.83,51.19,56.33,55.47,40.36,92.27,S
73.47,65.75,68.01,40.66,79.13,69.49,C
61.55,76.47,89.83,73.95,88.46,67.19,B
51.04,94.8,100.0,91.94,63.28,57.68,A
59.01,31.33,57.85,93.32,67.17,79.53,C
95.63,56.92,100.0,100.0,67.38,66.34,A
85.46,58.05,36.87,86.19,94.33,77.33,C
56.06,40.41,62.14,47.0,63.18,90.33,S
86.0,92.56,40.19,50.45,85.18,81.72,C
97.99,73.41,96.96,69.88,91.24,70.15,A
75.21,83.22,92.26,74.04,68.34,95.66,A
42.12,36.56,73.63,58.31,82.11,75.97,S
83.56,48.71,71.41,79.88,94.41,100.0,B
78.66,70.48,29.54,46.31,66.14,90.75,S
65.83,80.93,59.97,54.1,74.98,69.13,C
68.56,30.9,55.04,47.44,59.68,81.25,S
84.88,69.64,79.91,70.66,64.1,68.06,B
79.69,76.48,87.96,84.21,59.17,73.47,B
85.07,86.36,78.78,56.59,44.92,60.02,B
79.09,71.84,38.03,58.98,82.62,57.73,C
91.57,57.45,85.15,46.26,49.47,68.13,C
73.57,57.23,55.68,65.35,66.58,74.01,C
49.36,72.83,58.22,93.43,51.21,47.88,C
84.27,71.93,39.83,24.35,100.0,96.21,S
37.69,55.84,93.28,47.53,60.19,70.76,S
58.19,30.9,81.05,20.0,74.95,88.3,W
53.23,46.51,84.26,69.72,57.65,93.03,C
93.1,70.38,42.0,48.9,75.73,72.17,C
89.08,34.4,30.11,61.98,60.17,65.59,S
48.48,65.39,58.94,72.38,71.38,73.01,C
92.66,38.75,70.73,21.23,53.23,56.81,S
86.73,63.69,59.73,33.65,64.01,63.55,S
80.75,45.18,86.6,21.14,53.87,100.0,S
68.47,38.7,64.38,47.54,53.28,58.56,S
100.0,59.97,21.49,90.86,82.22,63.5,C
61.0,78.47,55.06,20.0,100.0,68.49,S
97.43,90.57,39.98,80.73,56.97,47.0,B
68.63,72.95,50.75,51.24,92.87,76.6,C
62.35,79.04,63.95,20.0,78.57,80.88,S
75.3,82.83,46.55,65.4,38.66,81.11,C
100.0,45.1,44.8,42.38,72.6,59.05,S
81.32,81.94,70.69,20.0,89.9,89.06,C
87.45,72.46,64.4,80.71,100.0,60.7,B
91.17,63.28,57.41,24.2,64.3,60.04,S
68.04,43.04,51.02,49.07,71.94,50.78,S
53.32,72.24,44.05,81.64,74.51,84.1,C
96.16,58.81,48.51,77.18,80.19,72.19,C
95.87,60.76,60.66,58.47,51.31,76.16,C
95.95,73.9,60.62,54.44,76.62,86.25,B
84.14,58.36,66.5,68.56,49.86,77.52,C
42.58,74.65,73.21,74.45,62.1,79.64,C
96.36,93.28,59.42,61.07,92.22,52.49,B
70.15,91.71,79.5,66.12,39.88,74.25,B
66.15,71.62,43.81,35.43,28.7,93.33,S
69.0,68.14,59.96,34.52,44.82,59.92,S
64.15,72.33,44.09,96.42,90.54,87.13,B
73.21,95.29,55.64,57.31,73.4,85.53,B
84.55,55.5,49.34,72.08,84.3,69.1,C
51.19,60.85,72.47,97.72,46.04,68.6,C
69.16,92.12,59.3,38.04,81.17,68.93,C
56.63,47.14,94.68,66.45,72.16,71.25,C
79.38,70.6,65.84,60.53,87.38,75.35,B
60.33,52.75,20.42,100.0,87.26,62.55,C
70.77,52.26,90.85,26.76,72.29,73.37,S
87.4,62.92,24.84,52.48,50.56,76.19,S
96.51,30.21,44.0,45.84,62.37,86.1,S
72.4,73.32,47.48,63.06,85.56,64.02,C
86.72,66.05,80.91,53.57,77.62,74.39,B
73.56,70.18,70.74,30.51,98.67,47.11,C
64.73,63.11,68.25,92.68,32.83,67.38,C
43.1,65.63,65.43,93.0,72.41,90.66,B
83.76,56.3,31.82,64.05,40.16,94.43,S
72.57,88.9,50.4,63.91,74.19,74.32,B
68.51,72.85,41.48,31.39,94.86,85.91,S
75.99,98.3,54.64,87.1,73.51,59.63,B
100.0,84.81,57.58,74.0,61.93,87.44,B
39.13,44.6,79.59,52.51,74.15,54.8,S
100.0,88.81,55.99,49.1,90.59,100.0,B
89.31,100.0,41.55,39.97,46.22,81.63,C
77.63,61.96,76.19,85.11,39.49,66.05,B
87.3,55.65,44.04,80.41,44.21,70.48,C
79.93,53.52,75.66,45.48,98.17,73.11,C
85.07,79.92,47.45,20.0,77.22,76.08,S
83.34,60.47,51.39,100.0,40.55,86.01,B
66.38,58.28,53.66,40.32,81.42,95.86,S
82.05,67.07,40.27,69.37,100.0,69.29,C
69.36,53.78,50.21,20.0,78.1,62.32,W
50.85,80.06,38.36,50.55,99.33,53.86,C
52.01,70.39,82.99,23.36,78.15,83.71,S
44.11,80.97,77.53,51.14,95.05,92.05,C
76.55,55.97,40.54,57.17,81.4,70.14,S
42.04,90.37,63.8,49.65,87.14,97.87,C
32.97,73.69,31.47,68.98,72.56,84.54,S
67.51,27.54,50.99,66.95,90.31,57.42,S
90.41,52.04,67.25,46.78,73.64,88.38,C
56.59,51.4,63.7,100.0,52.74,100.0,C
100.0,63.05,54.04,42.77,68.64,53.9,C
73.86,94.94,47.78,52.7,35.98,80.61,C
78.97,66.27,55.66,51.56,80.04,74.57,C
79.72,69.3,82.47,72.89,73.86,97.78,B
81.3,91.1,72.14,20.0,96.1,77.03,C
74.22,70.63,53.1,62.99,58.16,94.11,C
73.3,57.35,41.5,63.91,73.74,80.83,C
59.59,32.98,72.51,90.66,49.47,98.84,C
79.26,64.86,52.05,27.54,89.75,63.37,S
63.3,84.84,22.34,24.48,69.64,79.4,S
82.27,58.96,100.0,52.99,65.38,63.05,B
76.86,77.3,84.07,25.24,65.08,81.7,C
83.81,65.13,70.85,40.2,100.0,89.89,C
54.83,43.5,39.06,72.92,44.31,70.03,S
81.82,63.68,65.18,34.55,81.9,65.8,C
70.13,69.75,62.06,58.53,54.99,70.51,C
75.03,37.5,50.75,66.53,44.45,92.35,S
94.04,40.1,87.15,54.84,78.37,67.55,C
88.85,73.12,43.72,32.37,40.79,77.82,S
83.59,78.02,57.64,32.55,56.36,92.29,C
67.73,67.87,38.49,65.4,60.85,90.7,C
86.6,55.09,57.47,45.88,41.61,62.14,S
77.97,71.51,62.97,51.36,88.66,75.95,C
85.55,29.52,20.0,64.24,41.5,71.81,W
70.47,96.75,68.0,61.65,86.74,80.53,B
68.13,86.43,37.8,65.11,39.05,78.06,C
77.89,98.53,28.7,44.78,86.45,80.03,C
77.7,45.88,48.18,85.39,68.97,80.63,C
73.27,41.34,78.68,69.07,100.0,59.77,C
87.34,38.77,63.15,79.48,28.56,71.93,C
66.55,50.96,67.7,82.66,67.33,78.08,C
76.71,65.04,38.21,82.39,75.9,80.92,C
62.9,55.82,56.48,24.25,36.24,65.99,W
82.84,51.94,39.62,40.08,60.89,69.69,S
100.0,86.09,80.5,83.71,50.02,56.66,A
58.4,91.69,49.06,30.47,61.38,71.42,S
79.03,70.02,43.44,73.08,57.22,72.66,C
85.3,52.16,48.61,71.02,52.85,69.23,C
83.34,100.0,72.11,68.4,80.62,58.9,A
76.73,64.4,66.43,60.56,77.59,70.33,C
75.88,40.44,53.6,88.6,76.38,74.69,C
100.0,37.78,37.81,95.68,70.92,71.36,C
57.01,73.95,70.89,33.92,67.19,69.97,S
78.84,42.61,85.04,78.15,62.74,71.75,C
72.95,49.43,51.13,52.05,100.0,89.2,C
89.02,72.4,37.65,57.09,89.41,56.13,C
84.55,100.0,81.24,89.11,74.37,89.52,A
64.23,80.92,73.09,64.38,96.32,66.92,B
72.19,66.91,39.41,62.99,35.62,90.7,S
75.7,54.58,43.31,52.84,83.77,83.22,S
64.42,48.08,73.14,42.11,71.2,76.86,S
79.68,82.17,34.74,20.0,58.65,100.0,S
100.0,100.0,56.14,20.0,23.14,65.79,C
72.03,91.01,77.36,63.0,52.2,60.59,B
78.81,78.94,67.84,35.24,83.01,81.39,C
58.94,49.31,73.77,52.84,100.0,82.52,C
67.7,64.8,61.27,41.98,51.75,85.52,S
87.68,77.08,90.31,46.08,100.0,61.49,B
59.81,29.8,51.08,46.92,80.52,78.66,S
57.11,57.15,52.57,20.0,50.38,63.44,W
96.5,68.83,73.24,25.03,93.88,94.52,C
45.02,50.89,69.92,72.18,56.43,70.42,C
66.04,67.21,83.94,41.04,90.02,63.27,C
62.29,81.37,78.44,76.73,43.68,68.01,B
87.34,65.83,38.53,68.08,55.7,100.0,C
98.17,77.08,87.22,59.43,85.31,97.17,B
78.68,59.9,25.91,56.17,86.47,89.18,S
82.57,54.17,20.46,47.11,63.91,70.31,S
84.28,100.0,62.47,53.23,64.82,76.87,B
62.58,67.4,69.02,62.61,79.15,81.51,C
48.42,77.74,46.58,33.89,47.91,81.5,S
71.66,31.36,69.56,26.33,72.8,78.58,S
88.28,100.0,32.71,56.85,64.47,81.51,C
78.24,57.95,51.18,33.44,89.76,81.89,S
88.77,58.79,46.86,34.28,77.18,59.4,S
100.0,38.85,65.47,92.47,81.98,77.64,B
60.47,37.36,75.4,91.14,61.22,57.91,C
38.13,45.38,57.73,93.18,83.46,79.58,C
69.0,53.34,88.11,62.42,27.95,64.9,C
62.13,54.07,71.26,55.64,68.46,94.7,C
64.55,100.0,46.57,59.96,64.38,76.85,C
81.67,73.68,44.94,33.3,100.0,67.74,C
85.49,32.85,54.41,55.2,79.46,34.16,S
77.49,42.01,66.49,35.2,52.89,70.9,S
59.22,55.49,36.13,20.0,90.36,55.56,W
72.32,80.06,47.7,39.85,74.52,91.77,C
57.46,62.0,25.35,49.35,70.68,62.18,S
68.15,36.84,61.54,81.23,48.06,65.66,C
82.54,89.24,30.14,54.29,75.66,73.47,C
37.85,75.02,90.39,60.57,49.38,67.3,C
100.0,83.2,72.8,65.84,56.78,71.99,B
73.83,75.99,90.18,82.6,41.61,78.36,B
86.05,77.38,47.42,100.0,44.46,58.75,B
78.5,100.0,43.28,52.15,91.55,74.73,B
69.98,76.31,65.45,80.67,95.83,79.61,B
79.38,69.28,69.78,59.21,69.99,92.95,C
97.74,34.85,60.2,42.85,63.78,81.04,S
85.04,62.76,21.73,36.77,87.93,33.89,S
92.81,75.42,86.32,53.63,28.77,81.46,B
94.12,83.49,46.75,59.91,59.34,62.71,C
89.33,41.05,42.12,33.71,40.2,77.2,W
92.42,61.3,29.89,76.48,100.0,65.31,C
67.82,75.31,92.44,46.56,43.35,84.47,C
86.99,65.12,48.84,79.88,80.56,63.47,B
75.74,37.97,73.72,52.23,61.29,74.51,S
75.6,82.9,71.82,54.56,85.27,81.01,B
68.6,62.51,57.04,69.12,62.66,69.14,C
100.0,83.79,44.79,70.56,72.37,80.87,B
77.06,88.79,66.91,56.63,90.84,78.5,B
76.82,71.28,58.13,58.2,58.27,63.73,C
60.02,37.16,42.41,54.17,72.06,70.93,S
39.66,96.49,81.73,67.81,100.0,60.34,B
100.0,45.7,64.77,29.98,70.29,80.79,S
72.68,79.28,61.98,46.51,58.66,87.16,C
65.19,83.31,84.45,21.29,92.66,100.0,C
78.78,76.98,80.74,51.94,73.65,55.29,B
77.08,74.96,70.32,81.44,54.5,67.01,B
100.0,61.99,64.0,56.53,53.57,99.35,C
67.08,42.45,50.99,20.0,56.97,60.48,W
84.26,51.53,77.76,88.77,85.62,71.77,B
77.12,34.5,57.32,39.07,83.89,100.0,S
82.5,25.18,52.78,60.69,71.75,64.04,S
78.68,40.15,41.1,72.21,49.69,83.07,S
54.46,100.0,44.51,53.08,76.61,66.52,C
77.15,76.51,79.21,75.41,66.56,72.8,B
100.0,84.0,41.56,60.2,63.3,72.97,C
56.56,56.76,96.23,70.74,20.18,93.25,C
91.34,57.81,74.35,39.09,60.59,97.48,C
70.92,27.61,58.73,56.27,93.97,75.22,S
68.68,85.9,62.42,41.5,93.1,77.9,C
75.04,68.56,38.59,46.39,70.07,72.08,S
94.09,69.35,77.1,58.21,91.13,80.96,B
75.2,64.73,40.91,69.15,69.2,67.47,C
91.6,40.0,51.55,80.61,76.31,74.28,C
78.77,68.59,29.67,50.32,100.0,65.11,C
70.23,54.17,58.26,45.17,79.73,77.96,S
86.6,43.98,53.19,53.03,79.11,63.1,S
88.73,88.73,40.22,47.2,59.36,100.0,C
68.55,98.55,34.67,36.23,56.27,62.31,S
70.98,50.82,43.61,83.49,94.48,89.24,C
82.86,66.85,50.06,37.03,77.26,57.4,S
60.09,88.06,98.01,66.65,92.13,71.31,A
54.93,77.24,71.39,59.58,65.15,89.43,C
60.21,49.52,39.84,59.87,48.24,64.74,S
64.41,59.79,30.25,59.92,94.95,77.03,S
98.12,91.68,75.55,59.64,70.45,86.46,B
69.12,27.35,69.84,33.12,50.76,75.0,W
73.57,36.76,63.31,79.26,47.43,94.09,C
51.6,100.0,51.77,61.2,32.16,74.07,C
78.43,63.28,48.74,37.18,92.61,75.46,S
98.11,54.47,51.3,75.94,37.54,56.8,C
91.46,41.56,23.62,99.11,42.12,77.76,C
76.04,20.0,54.65,67.87,77.09,88.55,S
69.19,79.25,46.21,26.97,44.05,53.07,S
90.14,34.71,65.48,52.15,67.95,95.45,S
68.42,77.23,60.75,54.66,100.0,53.38,C
94.34,78.13,50.41,93.85,33.04,67.17,B
56.87,73.24,37.74,67.53,66.27,67.81,C
80.83,59.63,38.23,100.0,60.26,41.74,C
62.37,39.65,76.52,65.08,77.97,69.45,C
70.81,57.58,58.38,76.38,76.72,82.5,C
82.49,82.69,65.76,65.89,93.78,65.02,B
62.16,41.28,63.66,20.0,79.24,73.36,W
92.02,51.56,55.93,82.69,97.66,64.8,B
77.73,70.89,67.47,52.22,95.63,46.65,C
68.68,73.96,69.14,87.76,93.96,70.72,B
94.5,50.72,78.62,97.83,94.3,76.59,A
70.02,34.43,66.21,33.47,54.14,57.14,W
68.09,64.44,65.47,44.79,91.39,71.88,C
63.18,69.53,99.27,65.37,62.74,52.09,B
71.71,69.7,52.25,21.36,52.99,96.82,S
96.51,47.27,73.46,32.07,98.09,78.68,C
89.24,30.7,73.55,57.83,87.04,88.72,C
75.99,52.98,75.59,56.68,52.54,61.2,C
52.84,54.79,82.05,61.91,59.4,87.07,C
62.51,66.91,56.41,75.14,38.46,62.25,C
50.43,59.81,84.23,46.88,59.79,88.08,C
91.03,63.23,73.69,34.31,97.56,100.0,C
82.82,23.31,48.84,71.48,61.57,94.08,S
83.82,50.87,60.65,38.34,66.35,66.68,S
92.62,100.0,31.38,20.0,65.1,52.22,S
75.69,79.98,89.88,62.43,66.14,45.32,B
75.39,66.43,72.78,42.41,61.3,52.83,C
40.63,42.83,28.59,65.41,59.64,66.93,W
60.23,20.0,90.17,35.99,61.75,53.18,W
89.58,67.87,43.47,49.37,100.0,73.91,C
72.27,46.17,22.11,54.48,76.51,91.49,S
41.27,42.5,48.39,57.92,67.1,73.17,S
81.12,46.93,78.68,67.54,63.6,99.01,C
98.35,83.66,20.0,92.74,85.9,100.0,B
93.56,96.57,77.57,87.67,100.0,78.25,A
